order_id,user_id,signup_date,order_date,country,state,city,product,category,unit_price,quantity,discount,shipping_cost,currency,payment_method,is_first_order,referral_source,coupon_code,total,notes
10000,u5506,2023-10-13,2023-06-28,US,NY,Seattle,MiniGadget Lite,Gadgets,£29.19,two,0,,usd,crypto,1,affiliate, SUMMER15,,
10001,u5552,11/20/2024,2025-01-05,US,,Berlin,NanoWidget Z,Widgets, USD 23.37,1,—,0,,Cash,0,affiliate,loyalty,calc,
10000,,2025-01-17,2024-03-05,Australia,NY,Toronto,GigaGadget Pro,Gadgets,£30.77,2,0, 7.50,GBP,Amex,No,,N/A,,"gift, include note"
10003,u5386,2024-10-06,2025-03-21,Canada,,Austin,MiniGadget Lite,Gadgets,€41.81,,—,0,,paypal,1,,,calc,re-shipped; first lost
10004,u3504,"May 14, 2025",2025-08-16,US,NY,Sydney,CloudKey 2,Accessories,€22.6,3,0,0,GBP,MasterCard,,ads,loyalty,—,re-shipped; first lost
10005,u5889,2023-11-10,01/02/2023,usa,il,Miami,MiniGadget Lite,Gadgets,$22.6,2,0%,4.99,USD,crypto,,organic,N/A,calc,"gift, include note"
10006,,2024-03-09,2024-02-16,Australia,il,London ,QuietMouse S,Peripherals,$42.64,2,5,4.99,EUR,visa,No,affiliate,,,"gift, include note"
10003,user-343,2025-09-21,2025-08-26,Germany,,Seattle,NanoWidget Z,Widgets,$32.09, 3 ,,Free,GBP,paypal,,ads,loyalty,,"Customer said ""deliver before 5"", please."
10008,u5073,2025-07-07,07/24/2024,uk,,Berlin,NanoWidget Z,Widgets,$20.82, 3 ,—,0,USD,Cash,No,email, SUMMER15,calc,
10004,,2024-08-07,23-09-2025,US,—,San Francisco,FiberLink Plus,Accessories,$29.66,1,0%, 7.50,,Cash,yes,ads,BLACK-FRIDAY,calc,"Customer said ""deliver before 5"", please."
10010,u7615,03/23/23,10/09/24,DE,,Seattle ,CloudKey 2,Accessories, USD 20.86,1,10%,0,GBP,Amex,False,ads, SUMMER15,314.37,"Customer said ""deliver before 5"", please."
10011,U5345,2024-05-15,2025-06-16,AUS,—,San Francisco,CloudKey 2,Accessories,€20.84,1,0,0,USD,visa,yes,social,WELCOME10,—,"gift, include note"
10012,U9280,2023-07-09,20 Jul 2024,United States, FL,Austin,QuietMouse S,Peripherals,£26.7,5,—,0,USD,visa,yes,ads,N/A,190.92,"gift, include note"
10006,u6862,2023-07-30,2025-04-12,CA,,Austin,GigaGadget Pro,Gadgets, USD 12.56,1,0,Free,GBP,Cash,No,social,,,"verify address, apt missing"
10014,,2024-12-17,11-04-2024,Germany,,Chicago,CloudKey 2,Accessories,$13.41,2,15,,GBP,crypto,0,ads,,—,"gift, include note"
10015,,2024-12-08,2023-08-25,CA,,Miami,UltraWidget X,Widgets,€20.15,5,0,,,crypto,No,, SUMMER15,—,re-shipped; first lost
10016,,2024-10-30,2023-09-18,Germany,,Sydney,GigaGadget Pro,Gadgets,£17.21,two,10,$0,,Cash,True,social,WELCOME10,112.99,re-shipped; first lost
10017,,2023-12-14,2024-11-17,CA,,Sydney,CloudKey 2,Accessories,27.38,2,0,0,USD,MasterCard,,organic, SUMMER15,213.08,"gift, include note"
10018,U7547,07 Aug 2023,2025-08-09,usa,,Austin,QuietMouse S,Peripherals,€17.85,,—,Calculated at checkout,EUR,Cash,,N/A,N/A,0,"gift, include note"
10019,user-960,"Sep 19, 2025",2023/06/08,DE,,Berlin,NanoWidget Z,Widgets,14.96,1,5,$0,usd,crypto,No,organic, SUMMER15,209.72,"verify address, apt missing"
10020,U7883,2025/02/18,2024-09-03,Germany,,Berlin ,MiniGadget Lite,Gadgets, USD 40.98,2,10,$0,GBP,visa,1,,loyalty,0,refund?
10021,,2023-02-25,2023/10/05,Germany,,Chicago,MiniGadget Lite,Gadgets, USD 22.67,3,15,$0,EUR,Cash,1,social,N/A,,refund?
10022,U6733,2023-03-24,2024-02-13,CA,,Austin,QuietMouse S,Peripherals,€25.12,1,0%,12.0,GBP,crypto,TRUE,,,,
10023,,03/23/25,2024-05-12,Canada,,Sydney,NanoWidget Z,Widgets,£14.9,1,15,,GBP,crypto,0,organic,BLACK-FRIDAY,,
10024,,2023-11-10,2024-07-07,United Kingdom,,London,QuietMouse S,Peripherals, USD 20.28,two,10,Free,usd,Cash,False,social, SUMMER15,0,re-shipped; first lost
